Location,Site Name,Site Description,Latitude and Longitude(Deg Min Sec),Latitude and Longitude(Decimal),Link to site location,Picture Location,Copyright
UK,Gough and Inaccessible Islands (1995),"The site, located in the south Atlantic, is one of the least-disrupted island and marine ecosystems in the cool temperate zone. The spectacular cliffs of Gough and Inaccessible Islands, towering above the ocean, are free of introduced mammals and home to one of the world&iacute;s largest colonies of sea birds.","S 40 19 29, &dagger; &dagger; &dagger; &dagger; &dagger; W 9 55 43","-40.324722, &dagger; &dagger;-9.928611",http://whc.unesco.org/en/list/740,UK28.jpg,Gough and Inaccessible Islands (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO
UK,Henderson Island (1988),"Henderson Island, which lies in the eastern South Pacific, is one of the few atolls in the world whose ecology has been practically untouched by a human presence. Its isolated location provides the ideal context for studying the dynamics of insular evolution and natural selection. It is particularly notable for the 10 plants and four land birds that are endemic to the island.","S 24 22 0, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 128 19 60","-24.366667, &dagger; -128.333333",http://whc.unesco.org/en/list/487,UK29.jpg,Henderson Island (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO
UK,St Kilda (1986),"It has some of the highest cliffs in Europe, which have large colonies of rare and endangered species of birds, especially puffins and gannets. The archipelago, uninhabited since 1930, bears the evidence of more than 2,000 years of human occupation in the extreme conditions prevalent in the Hebrides. They feature the vulnerable remains of a subsistence economy based on the products of birds, agriculture and sheep farming.","N 57 49 2, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 8 34 36","57.817222, &dagger; -8.576667",http://whc.unesco.org/en/list/387,UK30.jpg,"St Kilda, United Kingdom &copy; Vincent Ko Hon Chiu"
UK,Blaenavon Industrial Landscape (2000),"The area around Blaenavon is evidence of the pre-eminence of South Wales as the world's major producer of iron and coal in the 19th century. All the necessary elements can still be seen - coal and ore mines, quarries, a primitive railway system, furnaces, workers' homes, and the social infrastructure of their community.","N51 46 35, W3 5 17","51.776389, -3.088056",http://whc.unesco.org/en/list/984,UK1.jpg,&copy; ejbaurdo
UK,Blenheim Palace (1987),"Blenheim Palace, near Oxford, stands in a romantic park created by the famous landscape gardener 'Capability' Brown. It was presented by the English nation to John Churchill, first Duke of Marlborough, in recognition of his victory in 1704 over French and Bavarian troops. Built between 1705 and 1722 and characterized by an eclectic style and a return to national roots, it is a perfect example of an 18th-century princely dwelling.","N51 50 31, W1 21 41","51.841944, -1.361389",http://whc.unesco.org/en/list/425,UK2.jpg,&copy; Vincent Ko Hon Chiu
UK,"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church (1988)","Canterbury, in Kent, has been the seat of the spiritual head of the Church of England for nearly five centuries. Canterbury's other important monuments are the modest Church of St Martin, the oldest church in England; the ruins of the Abbey of St Augustine, a reminder of the saint's evangelizing role in the Heptarchy from 597; and Christ Church Cathedral, a breathtaking mixture of Romanesque and Perpendicular Gothic, where Archbishop Thomas Becket was murdered in 1170.","N51 16 48, E1 4 60","51.28, 1.083333",http://whc.unesco.org/en/list/496,UK3.jpg,&copy; Vincent Ko Hon Chiu
UK,Castles and Town Walls of King Edward in Gwynedd (1986),"The castles of Beaumaris and Harlech (largely the work of the greatest military engineer of the time, James of St George) and the fortified complexes of Caernarfon and Conwy are located in the former principality of Gwynedd, in north Wales. These extremely well-preserved monuments are examples of the colonization and defence works carried out throughout the reign of Edward I (1272&ntilde;1307) and the military architecture of the time.","N 53 8 23, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 4 16 37","53.139722, -4.276944",http://whc.unesco.org/en/list/374,UK4.jpg,&copy; Vincent Ko Hon Chiu
UK,City of Bath (1987),"Founded by the Romans as a thermal spa, Bath became an important centre of the wool industry in the Middle Ages. In the 18th century, under George III, it developed into an elegant town with neoclassical Palladian buildings, which blend harmoniously with the Roman baths.","N 51 22 53, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 2 21 31","51.381389, -2.358611",http://whc.unesco.org/en/list/428,UK5.jpg,&copy; Bath Tourism Plus
UK,Cornwall and West Devon Mining Landscape (2006),Much of the landscape of Cornwall and West Devon was transformed in the 18th and early 19th centuries as a result of the rapid growth of pioneering copper and tin mining.Cornwall and West Devon were the heartland from which mining technology rapidly spread.,"N 50 8 10, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 5 23 1","50.136111, &dagger; &dagger;-5.383611",http://whc.unesco.org/en/list/1215,UK6.jpg,non &copy; UNESCO
UK,Derwent Valley Mills (2001),"The Derwent Valley in central England contains a series of 18th- and 19th- century cotton mills and an industrial landscape of high historical and technological interest. The modern factory owes its origins to the mills at Cromford, where Richard Arkwright's inventions were first put into industrial-scale production. The workers' housing associated with this and the other mills remains intact and illustrate the socio-economic development of the area.","N 53 1 44, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 1 29 17","53.028889, -1.488056",http://whc.unesco.org/en/list/1030/,UK7.jpg,non &copy; UNESCO
UK,Durham Castle and Cathedral (1986),"Durham Cathedral was built in the late 11th and early 12th centuries to house the relics of St Cuthbert (evangelizer of Northumbria) and the Venerable Bede. It attests to the importance of the early Benedictine monastic community and is the largest and finest example of Norman architecture in England. The innovative audacity of its vaulting foreshadowed Gothic architecture. Behind the cathedral stands the castle, an ancient Norman fortress which was the residence of the prince-bishops of Durham.","N 54 46 29, &dagger; &dagger; &dagger; &dagger; &dagger; W 1 34 34","54.774722, -1.576111",http://whc.unesco.org/en/list/370,UK8.jpg,&copy; Valerio Li Vigni
UK,Frontiers of the Roman Empire (1987),The &euml;Roman Limes&iacute; represents the border line of the Roman Empire at its greatest extent in the 2nd century AD.The 118-km-long Hadrian&iacute;s Wall (UK) was built on the orders of the Emperor Hadrian c. AD 122 at the northernmost limits of the Roman province of Britannia.,"N 54 59 33.4, &dagger; &dagger; &dagger; &dagger;W 2 36 3.6","54.992611, &dagger;-2.601",http://whc.unesco.org/en/list/430,UK9.jpg,&copy; Judith Herrmann
UK,Gorham's Cave Complex (2016),"The steep limestone cliffs on the eastern side of the Rock of Gibraltar contain four caves with archaeological and paleontological deposits that provide evidence of Neanderthal occupation over a span of more than 100,000 years. This exceptional testimony to the cultural traditions of the Neanderthals is seen notably in evidence of the hunting of birds and marine animals for food, the use of feathers for ornamentation and the presence of abstract rock engravings.","N 36 7 21.61, &dagger; &dagger; &dagger; &dagger;W 5 20 31.42","36.122669, -5.342061",http://whc.unesco.org/en/list/1500,UK10.jpg,"&copy; Clive Finlayson, Gibraltar Museum"
UK,Heart of Neolithic Orkney (1999),"The group of Neolithic monuments on Orkney consists of a large chambered tomb (Maes Howe), two ceremonial stone circles (the Stones of Stenness and the Ring of Brodgar) and a settlement (Skara Brae), together with a number of unexcavated burial, ceremonial and settlement sites. The group constitutes a major prehistoric cultural landscape which gives a graphic depiction of life in this remote archipelago in the far north of Scotland some 5,000 years ago.","N 58 59 45.8, &dagger; &dagger; &dagger; &dagger; W 3 11 19.2","58.996056, -3.188667",http://whc.unesco.org/en/list/514,UK11.jpg,&copy; Sacred sites
UK,"Historic Town of St George and Related Fortifications, Bermuda (2000)","The Town of St George, founded in 1612, is an outstanding example of the earliest English urban settlement in the New World. Its associated fortifications graphically illustrate the development of English military engineering from the 17th to the 20th century, being adapted to take account of the development of artillery over this period.","N 32 22 46, &dagger; &dagger; &dagger; &dagger; &dagger; W 64 40 40","32.379444,64.677778",http://whc.unesco.org/en/list/983,UK12.jpg,&copy; dbking
UK,Ironbridge Gorge (1986),"Ironbridge is known throughout the world as the symbol of the Industrial Revolution. It contains all the elements of progress that contributed to the rapid development of this industrial region in the 18th century, from the mines themselves to the railway lines. The bridge at Ironbridge, the world's first bridge constructed of iron, had a considerable influence on developments in the fields of technology and architecture.","N 52 37 35, &dagger; &dagger; &dagger; &dagger; &dagger; W 2 28 22","52.626389,2.472778",http://whc.unesco.org/en/list/371,UK13.jpg,&copy; Vincent Ko Hon Chiu
UK,Liverpool &ntilde; Maritime Mercantile City (2004),"Six areas in the historic centre and docklands of the maritime mercantile City of Liverpool bear witness to the development of one of the world&iacute;s major trading centres in the 18th and 19th centuries. Liverpool played an important role in the growth of the British Empire and became the major port for the mass movement of people. The listed sites feature a great number of significant commercial, civic and public buildings, including St George&iacute;s Plateau.","N 53 24 24, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 2 59 40","53.406667,2.994444",http://whc.unesco.org/en/list/1150,UK14.jpg,&copy; OUR PLACE The World
UK,Maritime Greenwich (1997),"The ensemble of buildings at Greenwich, an outlying district of London, and the park in which they are set, symbolize English artistic and scientific endeavour in the 17th and 18th centuries. The Queen's House (by Inigo Jones) was the first Palladian building in England, while the complex that was until recently the Royal Naval College was designed by Christopher Wren. The park, laid out on the basis of an original design by Andr&Egrave; Le N&Ugrave;tre, contains the Old Royal Observatory, the work of Wren and the scientist Robert Hooke.","N 51 28 57.2766, &dagger;W 0 0 27.5724","51.482577,0.007659",http://whc.unesco.org/en/list/795,UK15.jpg,&copy; Vincent Ko Hon Chiu
UK,New Lanark (2001),"New Lanark is a small 18th- century village set in a sublime Scottish landscape where the philanthropist and Utopian idealist Robert Owen moulded a model industrial community in the early 19th century. The imposing cotton mill buildings, the spacious and well-designed workers' housing, and the dignified educational institute and school still testify to Owen's humanism.","N 55 39 48, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 3 46 59","55.663333,3.783056",http://whc.unesco.org/en/list/429,UK16.jpg,New Lanark &copy; RCAHMS
UK,Old and New Towns of Edinburgh (1995),"Edinburgh has been the Scottish capital since the 15th century. It has two distinct areas: the Old Town, dominated by a medieval fortress; and the neoclassical New Town, whose development from the 18th century onwards had a far-reaching influence on European urban planning. The harmonious juxtaposition of these two contrasting historic areas, each with many important buildings, is what gives the city its unique character.","N 55 57 0, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 3 13 0","55.95, &dagger; &dagger;-3.216667",http://whc.unesco.org/en/list/728,UK17.jpg,Old and New Towns of Edinburgh (United Kingdom of Great Britain and Northern Ireland) &copy; Valerio Li Vigni
UK,Palace of Westminster and Westminster Abbey including Saint Margaret&iacute;s Church (1987),"Westminster Palace, rebuilt from the year 1840 on the site of important medieval remains, is a fine example of neo-Gothic architecture. The site &ntilde; which also comprises the small medieval Church of Saint Margaret, built in Perpendicular Gothic style, and Westminster Abbey, where all the sovereigns since the 11th century have been crowned &ntilde; is of great historic and symbolic significance.","N51 29 59.3592, &dagger; W0 7 36.0978","51.499822, -0.126694",http://whc.unesco.org/en/list/426,UK18.jpg,Palace of Westminster and Westminster Abbey including Saint Margaret&iacute;s Church (United Kingdom of Great Britain and Northern Ireland) &copy; Tim Schnarr
UK,Pontcysyllte Aqueduct and Canal (2009),"Situated in north-eastern Wales, the 18 kilometre long Pontcysyllte Aqueduct and Canal is a feat of civil engineering of the Industrial Revolution, completed in the early years of the 19th century.The property is inscribed as a masterpiece of creative genius, and as a remarkable synthesis of expertise already acquired in Europe. It is also recognized as an innovative ensemble that inspired many projects all over the world.","N 52 58 13, &dagger; &dagger; &dagger; &dagger; &dagger; W 3 5 16","52.970278, -3.087778",http://whc.unesco.org/en/list/1303,UK19.jpg,Pontcysyllte Aqueduct and Canal &copy; Crown Copyright
UK,"Royal Botanic Gardens, Kew (2003)","This historic landscape garden features elements that illustrate significant periods of the art of gardens from the 18th to the 20th centuries. The gardens house botanic collections (conserved plants, living plants and documents) that have been considerably enriched through the centuries. Since their creation in 1759, the gardens have made a significant and uninterrupted contribution to the study of plant diversity and economic botany.","N 51 28 55, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;E 0 17 38.5","51.481944, &dagger; &dagger; &dagger;0.294028",http://whc.unesco.org/en/list/1084,UK20.jpg,"Royal Botanic Gardens, Kew (United Kingdom of Great Britain and Northern Ireland) &copy; OUR PLACE The World Heritage Collection"
UK,Saltaire (2001),"Saltaire, West Yorkshire, is a complete and well-preserved industrial village of the second half of the 19th century. Its textile mills, public buildings and workers' housing are built in a harmonious style of high architectural standards and the urban plan survives intact, giving a vivid impression of Victorian philanthropic paternalism.","N 53 50 21, &dagger; &dagger; &dagger; &dagger; &dagger; W 1 47 18","53.839167, &dagger; -1.788333",http://whc.unesco.org/en/list/1028,UK21.jpg,Saltaire &copy; UNESCO
UK,"Stonehenge, Avebury and Associated Sites (1986)","Stonehenge and Avebury, in Wiltshire, are among the most famous groups of megaliths in the world. The two sanctuaries consist of circles of menhirs arranged in a pattern whose astronomical significance is still being explored. These holy places and the nearby Neolithic sites are an incomparable testimony to prehistoric times.","N 51 10 44, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 1 49 31","51.178889, &dagger;-1.825278",http://whc.unesco.org/en/list/373,UK22.jpg,"Stonehenge, Avebury and Associated Sites (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO"
UK,Studley Royal Park including the Ruins of Fountains Abbey (1986),"A striking landscape was created around the ruins of the Cistercian Fountains Abbey and Fountains Hall Castle, in Yorkshire. The 18th-century landscaping, gardens and canal, the 19th-century plantations and vistas, and the neo-Gothic castle of Studley Royal Park, make this an outstanding site.","N 54 6 58, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 1 34 23","54.116111, &dagger; &dagger;-1.573056",http://whc.unesco.org/en/list/372,UK23.jpg,Studley Royal Park including the Ruins of Fountains Abbey (United Kingdom of Great Britain and Northern Ireland) &copy; Valerio Li Vigni
UK,The Forth Bridge (2015),"This railway bridge, crossing the Forth estuary in Scotland, had the world&iacute;s longest spans (541 m) when it opened in 1890. It remains one of the greatest cantilever trussed bridges and continues to carry passengers and freight. Innovative in style, materials and scale, the Forth Bridge marks an important milestone in bridge design and construction during the period when railways came to dominate long-distance land travel.","N 56 0 4, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 3 23 20","56.001111, &dagger;-3.388889",http://whc.unesco.org/en/list/1485,UK24.jpg,Forth Bridge from South Queensferry &copy; Historic Scotland
UK,Tower of London (1988),"The massive White Tower is a typical example of Norman military architecture, whose influence was felt throughout the kingdom. It was built on the Thames by William the Conqueror to protect London and assert his power. The Tower of London &ntilde; an imposing fortress with many layers of history, which has become one of the symbols of royalty &ntilde; was built around the White Tower.","N 51 30 29.2026, &dagger; W 0 4 33.4164","51.508112, -0.075949",http://whc.unesco.org/en/list/488,UK25.jpg,Tower of London (United Kingdom of Great Britain and Northern Ireland) &copy; OUR PLACE The World Heritage Collection
UK,Dorset and East Devon Coast (2001),"The cliff exposures along the Dorset and East Devon coast provide an almost continuous sequence of rock formations spanning the Mesozoic Era, or some 185 million years of the earth's history. The area's important fossil sites and classic coastal geomorphologic features have contributed to the study of earth sciences for over 300 years.","N 50 42 20, &dagger; &dagger; &dagger; &dagger; &dagger; W 2 59 23.6","50.705556, -2.989889",http://whc.unesco.org/en/list/1029,UK26.jpg,Dorset and East Devon Coast (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO
UK,Giant's Causeway and Causeway Coast (1986),"The Giant's Causeway lies at the foot of the basalt cliffs along the sea coast on the edge of the Antrim plateau in Northern Ireland. It is made up of some 40,000 massive black basalt columns sticking out of the sea.Geological studies of these formations over the last 300 years have greatly contributed to the development of the earth sciences, and show that this striking landscape was caused by volcanic activity during the Tertiary, some 50&ntilde;60 million years ago.","N 55 15 0, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; &dagger;W 6 29 7","55.25, &dagger; &dagger; &dagger; &dagger; -6.485278",http://whc.unesco.org/en/list/369,UK27.jpg,Giant's Causeway and Causeway Coast &copy; Stefano Berti
UK,Gough and Inaccessible Islands (1995),"The site, located in the south Atlantic, is one of the least-disrupted island and marine ecosystems in the cool temperate zone. The spectacular cliffs of Gough and Inaccessible Islands, towering above the ocean, are free of introduced mammals and home to one of the world&iacute;s largest colonies of sea birds.","S 40 19 29, &dagger; &dagger; &dagger; &dagger; &dagger; W 9 55 43","-40.324722, &dagger; &dagger;-9.928611",http://whc.unesco.org/en/list/740,UK28.jpg,Gough and Inaccessible Islands (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO
UK,Henderson Island (1988),"Henderson Island, which lies in the eastern South Pacific, is one of the few atolls in the world whose ecology has been practically untouched by a human presence. Its isolated location provides the ideal context for studying the dynamics of insular evolution and natural selection. It is particularly notable for the 10 plants and four land birds that are endemic to the island.","S 24 22 0, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 128 19 60","-24.366667, &dagger; -128.333333",http://whc.unesco.org/en/list/487,UK29.jpg,Henderson Island (United Kingdom of Great Britain and Northern Ireland) &copy; UNESCO
UK,St Kilda (1986),"It has some of the highest cliffs in Europe, which have large colonies of rare and endangered species of birds, especially puffins and gannets. The archipelago, uninhabited since 1930, bears the evidence of more than 2,000 years of human occupation in the extreme conditions prevalent in the Hebrides. They feature the vulnerable remains of a subsistence economy based on the products of birds, agriculture and sheep farming.","N 57 49 2, &dagger; &dagger; &dagger; &dagger; &dagger; &dagger; W 8 34 36","57.817222, &dagger; -8.576667",http://whc.unesco.org/en/list/387,UK30.jpg,"St Kilda, United Kingdom &copy; Vincent Ko Hon Chiu"
France,Abbey Church of Saint-Savin sur Gartempe,"Known as the 'Romanesque Sistine Chapel', the Abbey-Church of Saint-Savin contains many beautiful 11th- and 12th-century murals which are still in a remarkable state of preservation.","N46 33 52.992, &dagger;E0 51 57.996","46.56472, 0.86611&dagger;",http://whc.unesco.org/en/list/230,FRANCE1.jpg,&copy; Editions Gelbart
France,Amiens Cathedral,"Amiens Cathedral, in the heart of Picardy, is one of the largest 'classic' Gothic churches of the 13th century. It is notable for the coherence of its plan, the beauty of its three-tier interior elevation and the particularly fine display of sculptures on the principal facade and in the south transept.","N49 53 42, &dagger; &dagger; &dagger; &dagger;E2 18 6","49.895 , 2.301667&dagger;",http://whc.unesco.org/en/list/162,FRANCE2.jpg,&copy; Editions Gelbart
France,"Arles, Roman and Romanesque Monuments","Arles is a good example of the adaptation of an ancient city to medieval European civilization. During the 4th century Arles experienced a second golden age, as attested by the baths of Constantine and the necropolis of Alyscamps. In the 11th and 12th centuries, Arles once again became one of the most attractive cities in the Mediterranean.","N43 40 39.5, &dagger; &dagger; E4 37 50.5","43.677639, 4.630694&dagger;",http://whc.unesco.org/en/list/164,FRANCE3.jpg,&copy; Editions Gelbart
France,Belfries of Belgium and France,"The belfries of Belgium and France are exceptional examples of a form of urban architecture adapted to the political and spiritual requirements of their age. The belfries of Belgium and France symbolize this new-found independence, and also the links within them between the secular and religious powers.","N50 10 27.984, E3 13 53.003","50.17444, &dagger;3.23138",http://whc.unesco.org/en/list/943,FRANCE4.jpg,&copy; Editions Gelbart
France,"Bordeaux, Port of the Moon&dagger;","Bordeaux, Port of the Moon, constitutes an exceptional testimony to the exchange of human values over more than two thousand years. These exchanges have provided this cosmopolitan town, in the age of Enlightenment, an unparalleled prosperity that provided for an exceptional urban and architectural transformation that continued through 19th century up to present time.&dagger;","N44 49 39.6192, W0 33 7.2324","44.827672, -0.552009",http://whc.unesco.org/en/list/1256,FRANCE5.jpg,&copy; Ville de Bordeaux
France,Bourges Cathedral,"The Cathedral of St Etienne of Bourges, built between the late 12th and late 13th centuries, is one of the great masterpieces of Gothic art and is admired for its proportions and the unity of its design. The tympanum, sculptures and stained-glass windows are particularly striking. Apart from the beauty of the architecture, it attests to the power of Christianity in medieval France.","N47 4 56, &dagger; &dagger; &dagger; &dagger; &dagger; E2 23 54","47.082222, &dagger;2.398333",http://whc.unesco.org/en/list/635,FRANCE6.jpg,&copy; Editions Gelbart
France,Canal du Midi&dagger;,"This 360-km network of navigable waterways linking the Mediterranean and the Atlantic through 328 structures (locks, aqueducts, bridges, tunnels, etc.) is one of the most remarkable feats of civil engineering in modern times. Built between 1667 and 1694, it paved the way for the Industrial Revolution.&dagger;","N43 36 41, &dagger; &dagger; &dagger; &dagger; E1 24 59","43.611389, 1.416389",http://whc.unesco.org/en/list/770,FRANCE7.jpg,&copy; Editions Gelbart
France,"Cathedral of Notre-Dame, Former Abbey of Saint-R&Egrave;mi and Palace of Tau, Reims","The outstanding handling of new architectural techniques in the 13th century, and the harmonious marriage of sculptural decoration with architecture, has made Notre-Dame in Reims one of the masterpieces of Gothic art. The former archiepiscopal palace known as the Tau Palace, which played an important role in religious ceremonies, was almost entirely rebuilt in the 17th century.","N49 15 12, &dagger; &dagger; &dagger; &dagger;E4 1 58","49.253333, 4.032778&dagger;",http://whc.unesco.org/en/list/601,FRANCE8.jpg,&copy; Editions Gelbart
France,"Champagne Hillsides, Houses and Cellars",The property encompasses sites where the method of producing sparkling wines was developed on the principle of secondary fermentation in the bottle since the early 17th century to its early industrialization in the 19th century. &dagger;The property bears clear testimony to the development of a very specialized artisan activity that has become an agro-industrial enterprise.,"N49 4 39, &dagger; &dagger; &dagger; &dagger; &dagger; E3 56 46","49.0775, 3.946111",http://whc.unesco.org/en/list/1465,FRANCE9.jpg,&copy; Association Paysages du Champagne
France,Chartres Cathedral,"Partly built starting in 1145, and then reconstructed over a 26-year period after the fire of 1194, Chartres Cathedral marks the high point of French Gothic art. The vast nave, in pure ogival style, the porches adorned with fine sculptures from the middle of the 12th century, and the magnificent 12th- and 13th-century stained-glass windows, all in remarkable condition, combine to make it a masterpiece.","N48 26 51, &dagger; &dagger; &dagger; &dagger; E1 29 14","48.4475, 1.487222",http://whc.unesco.org/en/list/81,FRANCE10.jpg,&copy; UNESCO
France,"Cistercian Abbey of Fontenay
","This stark Burgundian monastery was founded by St Bernard in 1119. With its church, cloister, refectory, sleeping quarters, bakery and ironworks, it is an excellent illustration of the ideal of self-sufficiency as practised by the earliest communities of Cistercian monks.","N47 38 21.984,  E4 23 20.796
","47.63944, 4.38911&dagger;",http://whc.unesco.org/en/list/165,FRANCE11.jpg,&copy; Editions Gelbart
France,"Decorated Cave of Pont d&iacute;Arc, known as Grotte Chauvet-Pont d&iacute;Arc, Ard&Euml;che","The decorated cave of Pont d&iacute;Arc, known as Grotte Chauvet-Pont d&iacute;Arc contains the first known expressions of human artistic genius and more than 1,000 drawings of anthropomorphic and zoomorphic motifs of exceptional aesthetic quality have been inventoried. It bears a unique and exceptionally well-preserved testimony to the cultural and artistic tradition of the Aurignacian people and to the early development of creative human activity in general.","N44 23 15, &dagger; &dagger; &dagger; &dagger; E4 24 58","44.3875, 4.416111",http://whc.unesco.org/en/list/1426,FRANCE12.jpg,&copy; MCC/DRAC
France,Episcopal City of Albi,The historic city of Albi presents an outstanding medieval architectural and urban ensemble.The Episcopal City of Albi forms a coherent and homogeneous ensemble of monuments and quarters that has remained largely unchanged over the centuries.,"N43 55 42, &dagger; &dagger; &dagger; &dagger;E2 8 33","43.928333, 2.1425",http://whc.unesco.org/en/list/1337,FRANCE13.jpg,&copy; Pierre B&Egrave;har Sarl &acute; A vol d&iacute;oiseau &ordf;
France,Fortifications of Vauban,"Fortifications of Vauban consists of 12 groups of fortified buildings and sites along the western, northern and eastern borders of France. Vauban&iacute;s work bears witness to the peak of classic bastioned fortification, typical of western military architecture of modern times.","N50 16 57, &dagger; &dagger; &dagger; &dagger; E2 45 32","50.2825, 2.758889&dagger;",http://whc.unesco.org/en/list/1283,FRANCE14.jpg,&copy; Editions Gelbart
France,"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",The Royal Saltworks at Arc-et-Senans is the first architectural complex on this scale and of this standard designed as a place of work. This is the first instance of a factory being built with the same care and concern for architectural quality as a palace or an important religious building. It bears witness to a fundamental cultural change in Europe at the end of the 18th century: the birth of industrial society.,"N46 56 15, &dagger; &dagger; &dagger; &dagger; E5 52 35","46.9375, 5.876389&dagger;",http://whc.unesco.org/en/list/203,FRANCE15.jpg,&copy; Editions Gelbart
France,"Historic Centre of Avignon: Papal Palace, Episcopal Ensemble and Avignon Bridge","In the 14th century, this city in the South of France was the seat of the papacy. Beneath this outstanding example of Gothic architecture, the Petit Palais and the Romanesque Cathedral of Notre-Dame-des-Doms complete an exceptional group of monuments that testify to the leading role played by Avignon in 14th-century Christian Europe.","N43 57 10, &dagger; &dagger; &dagger; &dagger; E4 48 22","43.952778, 4.806111",http://whc.unesco.org/en/list/228,FRANCE16.jpg,&copy; Editions Gelbart
France,Historic Fortified City of Carcassonne,"Since the pre-Roman period, a fortified settlement has existed on the hill where Carcassonne now stands. In its present form it is an outstanding example of a medieval fortified town, with its massive defences encircling the castle and the surrounding buildings, its streets and its fine Gothic cathedral. Carcassonne is also of exceptional importance because of the lengthy restoration campaign undertaken by Viollet-le-Duc, one of the founders of the modern science of conservation.","N43 12 38, &dagger; &dagger; &dagger; &dagger; E2 21 32","43.210556, 2.358889&dagger;",http://whc.unesco.org/en/list/345,FRANCE17.jpg,&copy; Editions Gelbart
France,Historic Site of Lyon,"The long history of Lyons, which was founded by the Romans in the 1st century B.C. as the capital of the Three Gauls and has continued to play a major role in Europe's political, cultural and economic development ever since, is vividly illustrated by its urban fabric and the many fine historic buildings from all periods.","N45 46 1.992, &dagger; &dagger;E4 49 59.988","45.76722, 4.83333",http://whc.unesco.org/en/list/872,FRANCE18.jpg,&copy; M & G Therin-Weise
France,Jurisdiction of Saint-Emilion,The Jurisdiction of Saint-Emilion is an outstanding example of an historic vineyard landscape that has survived intact and in activity to the present day. The intensive cultivation of grapes for wine production in a precisely defined region and the resulting landscape is illustrated in an exceptional way by the historic Jurisdiction of Saint-Emilion.,"N44 53 41, &dagger; &dagger; &dagger; &dagger; E0 9 19","44.894722, 0.155278&dagger;",http://whc.unesco.org/en/list/932,FRANCE19.jpg,&copy; Editions Gelbart
France,"Le Havre, the City Rebuilt by Auguste Perret","The city of Le Havre, on the English Channel in Normandy, was severely bombed during the Second World War. Le Havre is an outstanding post-war example of urban planning and architecture based on the unity of methodology and system of prefabrication, the systematic use of a modular grid and the innovative exploitation of the potential of concrete.","N49 29 34.008, E0 6 27","49.49278, 0.1075&dagger;",http://whc.unesco.org/en/list/1181,FRANCE20.jpg,&copy; UNESCO
France,"Mont-Saint-Michel and its Bay
","Perched on a rocky islet in the midst of vast sandbanks exposed to powerful tides between Normandy and Brittany stand the 'Wonder of the West', a Gothic-style Benedictine abbey dedicated to the archangel St Michael, and the village that grew up in the shadow of its great walls. Built between the 11th and 16th centuries, the abbey is a technical and artistic tour de force, having had to adapt to the problems posed by this unique natural site.","N48 38 8.016, &dagger; W1 30 38.016","48.63556, -1.51056&dagger;",http://whc.unesco.org/en/list/80,FRANCE21.jpg,&copy; UNESCO
France,Nord-Pas de Calais Mining Basin,"The Nord-Pas de Calais Mining Basin provides exceptional testimony to the exchange of ideas and influences regarding the extraction methods used for underground coal seams, the design of worker housing and urban planning, as well as the international human migration that accompanied the industrialization of Europe.","N50 27 45, &dagger; &dagger; &dagger; &dagger; E3 32 46","50.4625, 3.546111",http://whc.unesco.org/en/list/1360,FRANCE22.jpg,"&copy; Hubert Bouvet, R&Egrave;gion Nord-Pas de Calais, 2012"
France,Palace and Park of Fontainebleau,"Used by the kings of France from the 12th century, the medieval royal hunting lodge of Fontainebleau, standing at the heart of a vast forest in the Ile-de-France, was transformed, enlarged and embellished in the 16th century by Fran&Aacute;ois I, who wanted to make a 'New Rome' of it. Surrounded by an immense park, the Italianate palace combines Renaissance and French artistic traditions.","N48 24 7, &dagger; &dagger; &dagger; &dagger; &dagger; E2 41 53","48.401944, 2.698056&dagger;",http://whc.unesco.org/en/list/160,FRANCE23.jpg,&copy; Editions Gelbart
